site,block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes,variable1,day,type,full_name,seed_year,lat,long,elev_m
DPR,B2,D1-S2-9,6,C12,61,0.68,16,NA,3.4,5,2,GP,NA,0.580321231,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S1-4,6,C12,62,0.52,19,NA,2.5,5,2,GP,NA,0.604086638,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D1-S2-5,6,C12,63,0.53,13,NA,2.4,7,2,GP,NA,0.437390134,0,green toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S2-10,6,C12,64,0.5,7,NA,0.7,5,2,BP,NA,0.998267088,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B1,D1-S1-6,6,C12,65,0.58,12,NA,1.2,6,2,BP,NA,0.377232733,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S1-10,6,C12,66,0.44,10,NA,2.3,6,2,BS,NA,0.035177263,6,blue sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S2-1,6,C12,67,0.67,10,NA,2.6,6,2,BP,NA,0.781463059,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S1-5,6,C12,68,0.66,17,NA,4.5,6,2,GP,NA,0.019204345,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D1-S2-8,6,C12,69,0.54,18,NA,5.6,7,2,GP,NA,0.078151446,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S1-9,6,C12,70,0.5,9,NA,4,6,0,GP,NA,0.803283049,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S2-2,6,C12,71,0.42,15,NA,1.8,8,2,BP,NA,0.36903965,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D2-S1-5,6,C12,72,0.48,10,NA,1.7,4,2,YP,NA,0.15596506,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D1-S1-2,6,C12,73,0.5,16,NA,6.5,6,2,GP,NA,0.426638585,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D2-S1-1,6,C12,74,0.47,21,NA,3.2,6,2,GP,NA,0.75298225,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D1-S1-8,6,C12,75,0.35,10,NA,2.5,5,2,OS,NA,0.069485955,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S2-4,6,C12,76,0.67,19,NA,2.2,6,2,YP,NA,0.941278213,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D1-S2-8,6,C12,77,0.65,18,NA,2.4,6,2,BP,NA,0.420249268,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D1-S2-9,6,C12,78,0.22,15,NA,3.6,6,2,GP,NA,0.294826406,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B2,D2-S2-2,6,C12,79,0.68,17,NA,1.9,5,2,NA,NA,0.654893851,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S1-1,6,C12,80,0.54,12,NA,2.1,6,2,GP,NA,0.831039436,0,green toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B2,D1-S2-6,6,C12,81,0.52,9,NA,1,4,2,YP,NA,0.567022507,1,yellow toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D2-S2-7,6,C12,82,0.34,16,NA,2,6,2,YP,NA,0.624958498,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D2-S2-6,6,C12,83,0.34,18,NA,1.9,6,2,GP,NA,0.732504425,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B1,D1-S2-8,6,C12,84,0.36,18,NA,2.7,8,2,YP,NA,0.249272239,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D1-S1-7,6,C12,85,0.42,16,NA,1.5,7,1,BP,NA,0.857501256,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S1-9,6,C12,86,0.52,15,NA,1.8,5,1,BP,NA,0.126531968,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-1,6,C12,87,0.21,11,NA,1.1,5,2,BP,NA,0.869398983,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S2-10,6,C12,88,0.47,11,NA,2,7,2,BP,NA,0.195842536,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S2-9,6,C12,89,0.24,11,NA,1.5,6,2,PS,NA,0.747014614,8,pink sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S1-5,6,C12,90,0.53,17,NA,4.2,7,2,GP,NA,0.088381967,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D1-S1-3,6,C12,91,0.75,21,NA,5.2,7,2,GP,NA,0.169763167,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D1-S2-7,6,C12,93,0.39,16,NA,3.9,6,2,BP,NA,0.630140902,4,blue toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D1-S1-8,6,C12,94,0.32,11,NA,2.6,5,2,BS,NA,0.584855035,6,blue sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D1-S2-8,6,C12,95,0.58,11,NA,1.8,7,0,OP,NA,0.203068817,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B2,D1-S2-4,6,C12,96,0.82,17,NA,2,6,2,YP,NA,0.225795858,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D2-S2-2,6,C12,97,0.55,12,NA,1.7,6,2,OS,NA,0.850560683,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B2,D1-S2-9,6,C12,98,0.92,16,NA,2.6,7,2,GP,NA,0.806341394,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B1,D1-S1-1,6,C13,1,0.42,13,NA,1.5,5,2,YP,NA,0.041491972,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D2-S2-8,6,C13,2,0.68,16,NA,4.1,6,2,BP,NA,0.997442373,4,blue toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D1-S1-4,6,C13,3,0.69,14,NA,3.3,5,2,GP,NA,0.04314328,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D1-S1-10,6,C13,4,0.53,9,NA,1.5,6,2,BP,NA,0.7132335,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S2-4,6,C13,5,0.54,11,NA,3.1,6,2,GP,NA,NA,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S1-5,6,C13,6,0.7,8,NA,1.7,4,1,BP,NA,0.243918056,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S1-6,6,C13,7,0.4,13,NA,2.1,6,2,OP,NA,0.036581089,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S1-5,6,C13,8,0.48,17,NA,5.7,5,2,GP,NA,0.897064397,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
